| name|diameter_mean|diameter_mean_sig|diameter_median|diameter_median_pos_sig|diameter_median_neg_sig|p_V_mean|p_V_mean_sig|p_V_median|p_V_median_sig|theta_mean|theta_mean_sig|theta_median|theta_median_pos_sig|theta_median_neg_sig|period|period_pos_sig|period_neg_sig|kappa_rho_c|kappa_rho_c_pos_sig|kappa_rho_c_neg_sig|crater_fraction|crater_fraction_pos_sig|crater_fraction_neg_sig|p_IRp_V|p_IRp_V_pos_sig|p_IRp_V_neg_sig|pole_peak_ra|pole_peak_dec|mean_pole_ra|mean_pole_dec|mean_pole_bar|eigenvector_1|eigenvector_1_ra|eigenvector_1_dec|eigenvector_2|eigenvector_2_ra|eigenvector_2_dec|eigenvector_3|eigenvector_3_ra|eigenvector_3_dec|h_magnitude|h_error|epoch_count|model_type|
| char|       double|           double|         double|                 double|                 double|  double|      double|    double|        double|    double|        double|      double|              double|              double|double|        double|        double|     double|             double|             double|         double|                 double|                 double| double|         double|         double|      double|       double|      double|       double|       double|       double|          double|           double|       double|          double|           double|       double|          double|           double|     double| double|       long|      char|
|     |             |                 |               |                       |                       |        |            |          |              |          |              |            |                    |                    |      |              |              |           |                   |                   |               |                       |                       |       |               |               |            |             |            |             |             |             |                |                 |             |                |                 |             |                |                 |           |       |           |          |
| null|         null|             null|           null|                   null|                   null|    null|        null|      null|          null|      null|          null|        null|                null|                null|  null|          null|          null|       null|               null|               null|           null|                   null|                   null|   null|           null|           null|        null|         null|        null|         null|         null|         null|            null|             null|         null|            null|             null|         null|            null|             null|       null|   null|       null|      null|
 02212        4.8758            0.4322          4.8786                     5.6                     4.8    0.262       0.0503     0.2586           17.2   117.4469       1673.252        0.949                 29.8                 28.2   6.36          129.0           71.5       206.5                77.2                46.7           0.742                    0.18                   0.322   1.293            20.5            17.9      106.875   -9.59407043   103.555969   -48.3717232   0.593054652      0.540105            103.7              23.3      0.408614             23.9               4.5      0.051277             11.0             -43.9       13.53     0.2           2  Spherical 
 02212        4.6746             0.493          4.7292                     7.7                    10.3   0.2686       0.0629     0.2649           21.7     0.4931         0.6584       0.2556                142.3                232.7   20.0            0.0            0.0        90.0               142.3               232.7           0.504                   0.338                   0.358   1.179            22.7            19.4   157.500031   -78.2841492   248.577057   -69.2318268   0.249049887      0.733204            328.6              79.9      0.233732             95.3              -5.5      0.033055            354.5              45.0       13.53     0.2           2   Triaxial 
 07335        0.7181            0.1078          0.7153                    15.1                    16.0   0.2755       0.0777     0.2633           27.2     7.5791        16.9046       1.6573                210.8                151.7   5.15          147.6           65.0       397.4               204.7               174.8           0.424                   0.371                   0.301   1.646            24.9            23.9   196.875015   -41.8103218   136.983078   -55.4722328   0.223956376      0.464405            298.1              67.5      0.306201            110.1             -35.9      0.229391            322.4              27.3       17.76     0.2           2  Spherical 
 07335        0.6576            0.1164          0.6475                    17.5                    18.2   0.3001       0.0896     0.2918           30.8     3.9191        12.1691       0.6187                214.0                265.5   12.0            0.0            0.0       168.8               214.0               265.5           0.476                   0.378                   0.334   1.441            26.6            28.8   232.500031    54.3409081   221.416855    57.1091881   0.232536867      0.658348            259.6              72.6      0.273764            107.1              44.5      0.067883             45.8               7.0       17.76     0.2           2   Triaxial 
 68950        1.3018            0.1767          1.2968                    13.5                    11.7   0.2752       0.0732     0.2656           25.7     1.7268         0.9918       1.4619                 62.5                 45.7   47.0            0.0            0.0       833.3                62.5                45.7           0.332                   0.326                   0.195   1.461            17.4            15.8   6.42856693   -48.1412125   0.94696784    -60.794899   0.874951661       0.85996            181.2              56.3      0.128103             90.8              44.5      0.011937             44.5               8.7       16.39     0.2           7  Spherical 
 68950        0.8009            0.0693          0.7924                     4.5                     4.0    0.426       0.1032     0.4228           25.5     0.1556         0.5533        0.084                 77.7                 89.4   47.0            0.0            0.0        45.3                77.7                89.4           0.515                   0.344                   0.345   1.319            31.2            27.8   196.875015   -41.8103218   202.052567   -43.8527832   0.736776829      0.953253             20.4              41.5      0.043709             68.5             -44.2      0.003039            313.8               1.8       16.39     0.2           7   Triaxial 
 G1989        0.8287            0.1271          0.8633                     3.8                     8.3   0.2974       0.0946     0.2747           18.4    30.6298        61.9115      15.8421                109.0                 88.4   4.34           90.2           60.2      3070.8                96.7               105.3           0.408                   0.333                   0.284   1.818            17.4            16.4        315.0   -60.4344444   324.769226   -71.9920578    0.56968981      0.858907            145.9              73.7      0.104597             80.7             -21.2      0.036493            338.5              41.0       17.35     0.2           4  Spherical 
 G1989        0.8213            0.1687          0.8779                     6.4                    24.9   0.2903       0.1182     0.2558           28.6    33.8765        99.2737      20.3203                 91.1                260.8   4.31           97.9           57.8      3599.1                85.9               271.7           0.473                   0.327                   0.309   1.472            20.7            17.8        292.5   -78.2841492    119.69416     1.2411052   0.102179781      0.941836            120.4              72.1      0.046635             74.4             -36.9      0.011526            322.1              26.7       17.35     0.2           4   Triaxial 
 02100        1.8355            0.3388            1.86                    15.0                    19.8   0.1481       0.0657     0.1351           36.1    23.1887        35.2414      10.3756                137.5                145.4   4.66           91.2           61.9      2058.5               133.4               147.1           0.416                   0.345                   0.289   1.244            21.2            23.6   7.50000048   -54.3409119   47.5769119    -41.819191   0.480607212      0.729929             35.9             -42.6      0.220194            302.5              13.6      0.049872            164.0              46.4       16.35     0.2           3  Spherical 
 02100        1.3013            0.3148          1.2535                    23.7                    21.2    0.292       0.1081     0.2845           39.5     7.4461        13.1344       2.8991                153.9                276.4   19.8            0.0            0.0      1016.0               153.9               276.4           0.514                   0.335                   0.339   1.503            24.3            26.1    11.249999   -66.4435349   13.2370863   -65.9692841   0.358813971      0.866117            206.4              62.8      0.105156            102.9               8.1      0.028728              8.3              46.6       16.35     0.2           3   Triaxial 
