      1 Ceres             -           3.34  0.12   848.40  0.1132 S -                  9.074170   - 0.02 0.06 3  -     Y - - -
      2 Pallas            -           4.13  0.11   512.59  0.150  - -                  7.8132     - 0.03 0.16 3  -     Y - - -
      3 Juno              -           5.28  0.32   252.    0.2052 - -                  7.210      - 0.13 0.22 3  -     Y - - -
      4 Vesta             -           3.20  0.32   468.30  0.4228 - -                  5.342      - 0.08 0.19 3  -     Y - - -
      5 Astraea           -           6.85  0.15   115.    0.2430 - -                 16.806      - 0.10 0.30 3  -     Y - - -
      6 Hebe              -           5.71  0.24   185.18  0.2679 - -                  7.2745     - 0.05 0.21 3  -     Y - - -
      7 Iris              -           5.51  0.15   199.83  0.2766 - -                  7.139      - 0.04 0.29 3  -     Y - - -
      8 Flora             -           6.56  0.32   138.81  0.2179 - -                 12.865      - 0.03 0.11 3  -     Y - - -
      9 Metis             -           6.33  0.23   199.96  0.1298 - -                  5.079      - 0.04 0.36 3  -     Y - - -
     10 Hygiea            -           5.43  0.15   351.    0.0965 - -                 27.630      - 0.09 0.33 3  -     Y - - -
     11 Parthenope        -           6.57  0.24   160.09  0.1623 - -                 13.7204     - 0.05 0.12 3  -     Y - - -
     12 Victoria          -           7.06  0.22   127.34  0.1633 - -                  8.6599     - 0.04 0.42 3  -     Y - - -
     13 Egeria            -           6.74  0.15   207.64  0.0825 - -                  7.045      - 0.12 0.47 3  -     Y - - -
     14 Irene             -           6.30  0.15   152.29  0.230  - -                 15.028      - 0.03 0.16 3  -     Y - - -
     15 Eunomia           -           5.28  0.23   255.33  0.2094 - -                  6.083      - 0.36 0.56 3  -     Y - - -
     16 Psyche            -           5.93  0.21   225.    0.1523 - -                  4.196      - 0.03 0.42 3  -     Y - - -
     17 Thetis            -           7.9   0.23    93.34  0.1403 S -                 12.27048    - 0.13 0.40 3  -     Y - - -
     18 Melpomene         -           6.51  0.25   140.57  0.2225 - -                 11.570      - 0.10 0.34 3  -     Y - - -
     19 Fortuna           -           7.15  0.162  223.19  0.0489 - -                  7.4432     - 0.14 0.35 3  -     Y - - -
     20 Massalia          -           6.50  0.25   145.50  0.2096 - -                  8.098      - 0.15 0.27 3  -     Y - - -
     21 Lutetia           -           7.35  0.11   100.    0.20   - -                  8.1655     - 0.06 0.25 3  -     Y - - -
     22 Kalliope          -           6.45  0.21   143.    0.2272 - -                  4.1483     - 0.03 0.53 3  -     Y B - -
     23 Thalia            -           6.95  0.15   107.53  0.2536 - -                 12.312      - 0.10 0.15 3  -     Y - - -
     24 Themis            -           7.09  0.18   202.25  0.0631 - -                  8.374      - 0.09 0.14 3  -     Y - - -
     25 Phocaea           -           7.83  0.15    75.13  0.2310 - -                  9.9341     - 0.03 0.25 3  -     Y - - -
     26 Proserpina        -           7.5   0.15    94.80  0.1965 - -                 13.110      - 0.08 0.21 3  -     Y - - -
     27 Euterpe           -           7.0   0.15   118.    0.20   - -                 10.4082     - 0.13 0.21 3  -     Y - - -
     28 Bellona           -           7.09  0.15    97.    0.2738 - -                 15.706      - 0.03 0.31 3  -     Y - - -
     29 Amphitrite        -           5.85  0.2    212.22  0.1793 - -                  5.3921     - 0.01 0.15 3  -     Y - - -
     30 Urania            -           7.53  0.23    99.01  0.1753 - -                 13.686      - 0.11 0.45 3  -     Y - - -
     31 Euphrosyne        -           6.7   0.09   279.82  0.0471 - -                  5.530      - 0.06 0.13 3  -     Y - - -
     32 Pomona            -           7.56  0.15    80.76  0.2564 - -                  9.448      - 0.13 0.31 3  -     Y - - -
     33 Polyhymnia        -           8.56  0.34    57.94  0.20   - -                 18.608      - 0.13 0.21 3  -     - - - -
     34 Circe             -           8.51  0.15    96.    0.0756 - -                 12.15       - 0.17 0.24 3  -     Y - - -
     35 Leukothea         -           8.5   0.15   103.11  0.0662 - -                 31.900      - 0.07 0.43 3  -     Y - - -
     36 Atalante          -           8.46  0.15   105.61  0.0654 - -                  9.93       - 0.12 0.17 3  -     Y - - -
     37 Fides             -           7.33  0.27   108.35  0.1826 - -                  7.3335     - 0.10 0.25 3  -     Y - - -
     38 Leda              -           8.31  0.09   115.86  0.0621 - -                 12.838      - 0.05 0.16 3  -     Y - - -
     39 Laetitia          -           6.0   0.15   163.    0.2646 - -                  5.138      - 0.08 0.53 3  -     Y - - -
     40 Harmonia          -           7.0   0.15   107.62  0.2418 - -                  8.910      - 0.13 0.36 3  -     Y - - -
     41 Daphne            -           7.12  0.1    187.    0.0717 - -                  5.988      - 0.15 0.45 3  -     Y - - -
     42 Isis              -           7.53  0.15   100.20  0.1712 - -                 13.590      - 0.14 0.35 3  -     Y - - -
     43 Ariadne           -           7.93  0.11    65.88  0.2740 - -                  5.76218    - 0.06 0.73 3  -     Y - - -
     44 Nysa              -           7.03  0.46    70.64  0.5458 - -                  6.422      - 0.20 0.55 3  -     Y - - -
     45 Eugenia           -           7.42  0.13   206.29  0.0446 - -                  5.699      - 0.08 0.41 3  -     Y B - -
     46 Hestia            -           8.4   0.12   124.09  0.0501 - -                 21.040      - 0.08 0.12 3  -     - - - -
     47 Aglaja            -           7.86  0.178  138.04  0.0665 - -                 13.178      - 0.03 0.17 3  -     Y - - -
     48 Doris             -           6.90  0.15   221.80  0.0624 - -                 11.89       - 0.17 0.36 3  -     Y - - -
     49 Pales             -           7.8   0.15   149.80  0.0597 - -                 20.704      - 0.07 0.20 3- -     - - - -
     50 Virginia          -           9.24  0.15    99.82  0.0357 - -                 14.315      - 0.07 0.20 3  -     - - - -
     51 Nemausa           -           7.35  0.08   147.86  0.0928 - -                  7.783      - 0.10 0.25 3  3     Y - - -
     52 Europa            -           6.31  0.18   293.    0.0616 - -                  5.6304     - 0.08 0.20 3  -     Y - - -
     53 Kalypso           -           8.66  0.09   115.03  0.0459 - -                  9.036      - 0.09 0.14 3  -     - - - -
     54 Alexandra         -           7.66  0.15   142.    0.0756 - -                  7.024      - 0.10 0.31 3  -     Y - - -
     55 Pandora           -           7.7   0.15    70.    0.2998 - -                  4.8040     - 0.07 0.40 3  -     Y - - -
     56 Melete            -           8.31  0.15   113.24  0.0653 - -                 18.147      - 0.10 0.16 3  -     Y - - -
     57 Mnemosyne         -           7.09  0.22   122.73  0.1711 - -                 12.463      - 0.12 0.14 3  -     - - - -
     58 Concordia         -           8.86  0.09    92.19  0.0594 - -                  9.895      - 0.10 0.15 3  -     - - - -
     59 Elpis             -           7.93  0.15   164.80  0.0438 - -                 13.69       - 0.10 0.23 3  -     - - - -
     60 Echo              -           8.48  0.25    60.03  0.198  - -                 25.208      - 0.07 0.22 3  -     Y - - -
     61 Danae             -           7.68  0.15    82.04  0.2224 - -                 11.45       - 0.13 0.30 3  -     - - - -
